Sentence,Length
then м wait  me at bus stop aft ur lect lar if i dun c м then i go get my car then come back n pick м,101
aight will do thanks again for comin out,40
nobut heard abt tat,19
yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out,96
ltgt  am i think should say on syllabus,39
umma did she say anything,25
give me a sec to think think about it,37
i dont quite know what to do i still cant get hold of anyone i cud pick you up bout pm and we can see if theyre in the pub,122
poyyarikaturkolathupalayamunjalur posterode dis ltgt ,53
dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala,101
lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,93
i just got home babe are you still awake ,41
i dunno they close oredi not мп v ma fan,40
just buy a pizza meat lovers or supreme u get to pick,53
ya toldshe was asking wats matter,33
dearregret i cudnt pick calldrove down frm ctla now at cochin homeleft mobile in carente style ishtamayoohappy bakrid,117
shall i send that exe to your mail id,37
nope watching tv at home not going out v bored,46
don knowwait i will check it,28
good afternoon on this glorious anniversary day my sweet j  i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers  you cougarpen,215
we still on for tonight,23
may i call you later pls,24
hasnt that been the pattern recently crap weekends,50
i have a sore throat its scratches when i talk,46
yes da any plm at ur office,27
are you not around or just still asleep v,41
lol you forgot it eh  yes ill bring it in babe,46
its good well find a way,24
can not use foreign stamps in this country good lecture ,56
yup bathe liao,14
happy new year my no man,24
oh mr sheffield you wanna play that game okay youre the boss and im the nanny you give me a raise and ill give you one,118
zoe it just hit me  im fucking shitin myself il defo try my hardest  cum morow luv u millions lekdog,100
hello baby did you get back to your moms  are you setting up the computer now  filling your belly  how goes it loverboy  i miss you already  sighs,146
no my blankets are sufficient thx,33
naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,117
edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm,137
they just talking thats it de they wont any other,49
today am going to college so am not able to atten the class,59
im in class will holla later,28
easy ahsen got selected means its good,38
mmm thats better now i got a roast down me iехd b better if i had a few drinks down me  good indian,99
come round its  ,16
do  thing change that sentence into because i want  concentrate in my educational career im leaving here,104
i walked an hour  c u doesnехt that show i care y wont u believe im serious,75
are you available for soiree on june rd,39
do u noe wat time e place dat sells d closes,44
i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,133
jays getting really impatient and belligerent,45
hiya comin  bristol  st week in april les got off  rudi on new yrs eve but i was snoringthey were drunk u bak at college yet my work sends ink  bath,148
im at work please call,22
then u drive lor,16
ard  like dat y,15
tell me theyre female v howre you throwing in were deciding what all to get now,79
im working technical support voice processnetworking field,58
i might come to kerala for  daysso you can be prepared to take a leave once i finalise dont plan any travel during my visitneed to finish urgent works,150
ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve,117
thats fine ill bitch at you about it later then,47
no my mum went  dentist,23
once free call me sir i am waiting for you,42
meeting u is my work   tel me when shall i do my work tomorrow,62
jus finish bathing,18
alright ill make sure the car is back tonight,45
lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea,131
aight ill get on fb in a couple minutes,39
oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,77
where can download clear movies dvd copies,42
yep by the pretty sculpture,27
convey my regards to him,24
me too watching surya movie only  after  pm vijay movie pokkiri,63
you tell what happen dont behave like this to me ok no need to say,66
can u get pic msgs to your phone,32
send to someone else ,21
wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,116
for me the love should start with attractioni should feel that i need her every time around meshe should be the first thing which comes in my thoughtsi would start the day and end it with hershe should be there every time i dreamlove will be then when my every breath has her namemy life should happen around hermy life will be named to heri would cry for herwill give all my happiness and take all her sorrowsi will be ready to fight with anyone for heri will be in love when i will be doing the craziest things for herlove will be when i dont have to proove anyone that my girl is the most beautiful lady on the whole planeti will always be singing praises for herlove will be when i start up making chicken curry and end up makiing sambarlife will be the most beautiful thenwill get every morning and thank god for the day because she is with mei would like to say a lotwill tell later,888
frndship is like a needle of a clock though v r in d same clock v r nt able  met evn if v meetitz only few seconds bt v alwys stay conected gud t,145
i dont think he has spatula hands,33
you can never do nothing,24
goodmorning today i am late for  ltdecimalgt min,48
please da call me any mistake from my side sorry da pls da goto doctor,70
where r we meeting,18
well the weather in calis great but its complexities are great you need a car to move freely its taxes are outrageous but all in all its a great place the sad part is i missing home,181
now only i reached home   i am very tired now  i will come tomorro,66
ryder unsoldnow gibbs,21
dont fret ill buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal addressull be alrightokay,151
no gifts you trying to get me to throw myself off a cliff or something,70
been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today,102
you busy or can i come by at some point and figure out what were doing tomorrow,79
yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary,100
black shirt n blue jeans i thk i c м,36
aiyah sorry lor i watch tv watch until i forgot  check my phone,63
on hen night going with a swing,31
good afternoon my love how goes your day  what are you up to  i woke early and am online waiting for you  hmmm  italian boy is online i see  grins,146
from someone not to smoke when every time ive smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,139
no youll just get a headache trying to figure it out u can trust me to do the math i promise o,94
s sfirst timedhoni rocks,24
ok ill tell the company,23
awesome think we can get an th at usf some time tonight,55
so that means you still think of teju,37
no im good for the movie is it ok if i leave in an hourish,58
no nothis is kallis home groundamla home town is durban,55
so lets make it saturday or monday as per convenience,53
hey what time is your driving on fri we go for evaluation on fri,64
im going  lunch now wif my family then aft dat i go str  orchard lor,68
cancel cheyyamoand get some money back,38
okok okthenwhats ur todays plan,31
good morning princess how are you,33
aiyar sorry lor forgot  tell u,30
not tonight mate catching up on some sleep this is my new number by the way ,76
height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay,104
so check your errors and if you had difficulties do correction,62
howz painhope u r fine,22
sorry ill call later,20
good morning princess how are you,33
as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there,142
u wake up already thanx  e tau sar piah its quite nice,54
k do i need a login or anything,31
lol  no just was busy,21
what  u wearing,15
messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom,143
ohas usual vijay film or its different,38
have you had a good day mine was really busy are you up to much tomorrow night,78
and is there a way you can send shades stuff to her and she has been wonderful too,82
really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf  study ,101
babe  i lost you  ,18
ok help me ask if shes working tmr a not,40
im not driving raining then ill get caught at e mrt station lor,63
not a drop in the tank,22
that said can you text him one more time,40
sorry ill call later,20
ok i go change also,19
did u find a sitter for kaitlyn i was sick and slept all day yesterday,70
sorry man accidentally left my phone on silent last night and didnt check it til i got up,89
hey something came up last min think i wun be signing up tmr hee,64
hes an adult and would learn from the experience theres no real danger i just dont like peeps using drugs they dont need but no comment,135
hey theres veggie pizza ,24
yun buying but school got offer  plus only,42
you sure your neighbors didnt pick it up,40
k i will sent it again,22
new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct,131
well im computerless time to make some oreo truffles,52
haha yeah i see that now be there in a sec,42
i am not having her number sir,30
lol now im after that hot air balloon,37
ok   now i am in bus  if i come soon i will come otherwise tomorrow,67
msgs r not time passthey silently say that i am thinking of u right now and also making u think of me at least  a moment gd ntswt drms shesil,141
yeah we can probably swing by once my roommate finishes up with his girl,72
happy new years melody,22
мп dun need to pick ur gf,25
yay you better not have told that to  other girls either,56
horrible u eat macs eat until u forgot abt me already rite u take so long  reply i thk its more toot than b so b prepared now wat shall i eat,141
did he say how fantastic i am by any chance or anything need a bigger life lift as losing the will  live do you think i would be the first person  die from n v q ,162
just nw i came to hme da,24
im outside islands head towards hard rock and youll run into me,63
to day class is there are no class,34
im in chennai velachery,23
you flippin your shit yet,25
k give me a sec breaking a  ltgt  at cstore,43
am i that much bad to avoid like this,37
yo you around just got my car back,34
annoying isnt it,16
goodmorning today i am late for  ltgt min,41
theres no point hangin on to mr not right if hes not makin u happy,66
all will come alivebetter correct any good looking figure there itself,70
in that case i guess ill see you at campus lodge,48
were done,9
come to my home for one last time i wont do anything trust me,61
i was up all night too worrying about this appt its a shame we missed a girls night out with quizzes popcorn and you doing my hair,130
ok c ya,7
what he said is not the matter my mind saying some other matter is there,72
he also knows about lunch menu only da  i know,46
al he does is moan at me if n e thin goes wrong its my faultal de arguments r my faultfed up of him of himso y bother hav go thanxxx,132
neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt,139
otherwise had part time job natuition,37
i know she called me,20
me also da i feel yesterday night  wait til day night dear,58
thanks for understanding ive been trying to tell sura that,58
the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p,127
i need you to be in my strong arms,34
also maaaan are you missing out,31
his bday real is in april ,26
guessin you aint gonna be here before ,38
ok then i will come to ur home after half an hour,49
yo the game almost over want to go to walmart soon,50
yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well,118
ill text now all creepy like so he wont think that we forgot,60
that would be good ы ill phone you tomo lunchtime shall i to organise something,79
damn can you make it tonight or do you want to just wait til tomorrow,69
kkim also finewhen will you complete the course,47
true it is passable and if you get a high score and apply for phd you get years of salary so it makes life easier,113
prakesh is there know,21
teach me apps da when you come to college,41
rofl betta invest in some  anti aging products,46
sir you will receive the account no another hr time sorry for the delay,71
so мll be submitting da project tmr rite,40
jus ans me lar ull noe later,28
i want to send something that can sell fast  ltgt k is not easy money,69
have got  few things to do may be in  pub later,47
s finish meeting call me,24
lol ok ill snatch her purse too,31
hellodrivbyquit edrunk sorry iff pthis makes no senrddnot no how  dancce  drum n basqihave fun nhite x ros xxxxxxx,114
your opinion about me  over  jada  kusruthi  lovable  silent  spl character  not matured  stylish  simple pls reply,115
how much are we getting,23
is ur paper in e morn or aft tmr,32
dear relieved of westonzoyland all going to plan this end too,61
hope you are having a great new semester do wish you the very best you are made for greatness,93
oh yes i can speak txt  u no hmm did u get  email,49
i want to show you the world princess  how about europe,55
nobody can decide where to eat and dad wants chinese,52
no shoot me im in the docs waiting room ,40
now im going out  dinner soon,29
hello which the site to download songs its urgent pls,53
i do know what u mean  is the king of not havin credit im goinbed now night night sweet onlymore sleep ,103
horrible gal me in sch doing some stuff how come u got mc,57
hi hun im not comin nitetell every im sorry  me hope u ava goodtimeoli rang melnite ifink it mite b sortedbut il explain everythin on monlrsx,141
i call you later dont have network if urgnt sms me,50
ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,82
yeah like if it goes like it did with my friends imma flip my shit in like half an hour,87
mum say we wan to go then go then she can shun bian watch da glass exhibition ,78
what your plan for pongal,25
just wait till end of march when el nino gets himself oh,56
not yet chikkugoing to room nw im in bus,40
am also doing in cbe only but have to pay,41
honey boo im missing u,22
we have sent jd for customer service cum accounts executive to ur mail id for details contact us,96
yo im at my parents gettin cash good news we picked up a downstem,65
thank you so much when we skyped wit kz and sura we didnt get the pleasure of your company hope you are good weve given you ultimatum oh we are countin down to aburo enjoy,171
ok no wahala just remember that a friend in need ,49
i will see in half an hour,26
im in inperialmusic listeningthe weirdest track ever byеуleafcutter johnеуsounds like insects being molestedsomeone plumbingremixed by evil men on acid,151
hey sorry i didntgive ya a a bellearlier hunny,46
seriously tell her those exact words right now,46
tee hee off to lecture cheery bye bye,37
sorry chikku my cell got some problem thts y i was nt able to reply u or msg u,78
if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,116
ok,2
let me know how to contact you ive you settled in a room lets know you are ok,77
wot u up  u weirdo,18
can do lor,10
dont put your phone on silent mode ok,37
can i meet м at  as  where depends on where м wan  in lor,57
waiting  my tv show  start lor u leh still busy doing ur report,63
oh ho is this the first time u use these type of words,54
am i the only one who doesnt stalk profiles,43
ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it   gud nyt,144
yes i thought so thanks,23
but if shes drinkin im ok,25
just wondering the others just took off,39
night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng,153
what do you do my dog  must i always wait till the end of your day to have word from you  did you run out of time on your cell already,134
happy new year to u too,23
heygreat dealfarm tour am to pm pax  deposit by  may,52
eat jap done oso aft ur lect wat мп got lect at  rite ,54
hey babe i saw you came online for a second and then you disappeared what happened ,83
da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,171
happy birthday may all ur dreams come true,42
aiyah u did ok already lar e nydc at wheellock,46
tell her i said eat shit,24
sure i am driving but will reach my destination soon,52
k so am i how much for an th fifty,34
your daily text from me ыт a favour this time,45
great to hear you are settling well so whats happenin wit ola,61
those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,132
i tot u reach liao he said tshirt,33
fran i decided  go n e way im completely broke an knackered i got up bout  c u mrw love janx ps this is my dads fone no credit,126
i cant pick the phone right now pls send a message,50
your right ill make the appointment right now,45
designation is software developer and may be she get chennai,60
i jokin oni lar мп busy then i wun disturb м,44
ok be careful  dont text and drive ,35
ill always be there even if its just in spirit ill get a bb soon just trying to be sure i need it,97
u r too much close to my heart if u go away i will be shattered plz stay with me,80
i love u  babe r u sure everything is alrite is he being an idiot txt bak girlie,80
how abt making some of the pics bigger,38
got but got  colours lor one colour is quite light n e other is darker lor actually im done shes styling my hair now,116
whenevr ur sad whenevr ur gray remembr im here  listn  watevr u wanna say jus walk wid me a little whileamp i promise ill bring back ur smile,141
why nothing ok anyway give me treat,35
ok,2
correct so how was work today,29
just sent again do you scream and moan in bed princess,54
i wake up long ago already dunno what other thing,49
oh just getting even with u u,29
i thk  shd be ok he said plus minus  did м leave a line in between paragraphs,77
can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before o clock so call me plz,133
yeah jays sort of a fucking retard,34
sorry was in the bathroom sup,29
my exam is for february  wish you a great day,45
i dont know what to do to come out of this so only am ask questions like this dont mistake me,93
aight no rush ill ask jay,25
good morning plz call me sir,28
its ok lar u sleep early too nite,33
oh icic k lor den meet other day,32
oh  a half hour is much longer in syria than canada eh  wow you must get so much more work done in a day than us with all that extra time  grins,144
sometimes we put walls around our heartsnot just to be safe from getting hurt but to find out who cares enough to break the walls amp get closer goodnoon,153
sweet we may or may not go to u to meet carlos so gauge pattys interest in that,79
then she buying today мп no need to c meh,41
aight sorry i take ten years to shower whats the plan,53
every mondaynxt week vl be completing,37
might ax well im there,22
just chill for another hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay,109
yeah ill try to scrounge something up,37
crazy ar hes married мп like gd looking guys not me my frens like say hes korean leonas fave but i dun thk he is aft some thinking mayb most prob ill go,152
were somewhere on fredericksburg,32
que pases un buen tiempo or something like that,47
is it ok if i stay the night here xavier has a sleeping bag and im getting tired,80
she doesnt need any test,24
nothing much chillin at home any super bowl plan,48
bugis oso near wat ,19
yo theres no class tmrw right,29
let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in worldgnun  sent via waysmscom,114
goodnight sleep well da please take care pa please,50
baaaaabe i misss youuuuu  where are you  i have to go and teach my class at  ,77
convey my regards to him,24
u ned to convince him tht its not possible witot hurting his feeling its the main,81
good afternoon loverboy  how goes you day  any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy,148
if i start sending blackberry torch to nigeria will you find buyer for melike a month and tell dad not to buy bb from anyone oh,127
ltgt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis  u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to  ltgt  frnds in ltgt  mins whn u read,298
yo dude guess who just got arrested the other day,49
shuhui say change  suntec steamboat u noe where where r u now,61
what does the dance river do,28
yetunde im sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger,201
hey i will be really pretty late you want to go for the lesson first i will join you im only reaching tp mrt,108
bbq this sat at mine from ish ur welcome  come,46
i dont know same thing thats wrong everyso often he panicks starts goin on bout not bein good enough ы,102
alright im outhave a good night,31
did you try making another butt,31
hope you are feeling great pls fill me in abiola,48
i though we shd go out n have some fun so bar in town or something ыт sound ok,78
 go to write msg  put on dictionary mode cover the screen with hand press  ltgt  gently remove ur hand its interesting,118
were finally ready fyi,22
auntie huai juan never pick up her phone,40
ya tel wats ur problem,22
i dnt wnt to tlk wid u,22
we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight,142
its ok my arm is feeling weak cuz i got a shot so we can go another time,72
please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle ,194
storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello    its d name of a girl    yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone     moralone can get d name of a person,244
thats ok i popped in to ask bout something and she said youd been in are you around tonght wen this girl comes,110
all e best  ur exam later,25
hope ur head doesnt hurt  much  am ploughing my way through a pile of ironing  staying in with a chinky tonight come round if you like,134
oh ki think most of wi and nz players unsold,44
haha where got so fast lose weight thk muz go  a month den got effect geelater we go aust put bk e weight,105
i wonder how you got online my love  had you gone to the net cafe  did you get your phone recharged  were you on a friends net  i think of you boytoy,149
haha just kidding papa needs drugs,34
thk shld b can ya i wana go  lessons haha can go for one whole stretch,70
oh ok,5
r we still meeting  dinner tonight,34
thats cool i am a gentleman and will treat you with dignity and respect,71
shall i start from hear,23
then we wait  u lor no need  feel bad lar,41
no did you check i got his detailed message now,47
you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone,145
no i decided that only people who care about stuff vote and caring about stuff is for losers,92
kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg u,83
you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone,145
cool we will have fun practicing making babies,46
actually getting ready to leave the house,41
kkany special today,19
then we gotta do it after that,30
ive got ten bucks jay is being noncomittal,42
where at were hungry too,24
pls speak to that customer machan,33
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams,139
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,168
so wats ur opinion abt him and how abt is character,51
jay is snickering and tells me that x is totally fucking up the chords as we speak,82
nofew hours beforewent to hair cut ,35
no wonder cos i dun rem seeing a silver car but i thk i saw a black one,71
lmao take a pic and send it to me,33
speak only when you feel your words are better than the silence gud mrng,72
no shes currently in scotland for that,38
do you work all this week ,26
lol great now im getting hungry,31
yes now only saw your message,29
ill be at mu in like  ltgt  seconds,35
ok,2
thing r good thanx got exams in march ive done no revision is fran still with boyf ive gotta interviw  exeter bit worriedx,122
tell you what if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february,149
dont look back at the building because you have no coat and i dont want you to get more sick just hurry home and wear a coat to the gym,135
my painful personal thought i always try to keep everybody happy all the time but nobody recognises me when i am alone,118
thanks for ve lovely wisheds you rock,37
you intrepid duo you have a great time and see you both soon ,61
i asked sen to come chennai and search for job,46
dad went out oredi ,19
i jus hope its true that  missin me cos im really missin him you havent done anything to feel guilty about yet,110
wat so late still early mah or we juz go  dinner lor aiya i dunno,65
arms fine hows cardiff and uni ,31
in fact when do you leave i think addie goes back to school tues or wed,71
cool breeze bright sun fresh flower twittering birds all these waiting to wish u goodmorning amp have a nice day ,113
yagoing for restaurant,22
its ok i just askd did u knw tht no,35
those ducking chinchillas,25
i am in a marriage function,27
looks like u wil b getting a headstart im leaving here bout ish but if u r desperate for my company i could head in earlierwe were goin to meet in rummer,153
donычt give a flying monkeys wot they think and i certainly donычt mind any friend of mine and all that,103
say thanks ,11
msg me when rajini comes,24
ya when are м taking ure practical lessons i start in june  ,60
thats good because i need drugs,31
stupidits not possible,22
can м all decide faster cos my sis going home liao,50
u sleeping now or you going to take haha i got spys wat me online checking n replying mails lor,95
fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose  u lose if u win  u still lose,144
yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae so lyf is nt yet ovr chikkuali vargu lyfu meow meowd,135
kinda first one gets in at twelve aah speak tomo,48
ok good then i later come find м c lucky i told м to go earlier later pple take finish м no more again,102
wat makes u thk ill fall down but actually i thk im quite prone  falls lucky my dad at home i ask him come n fetch me already,125
your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt ,158
i wont touch you with out your permission,41
 wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st ur lovely friendship good morning dear,138
take some small dose tablet for fever,37
oh u must have taken your real valentine out shopping first,59
just sent you an email ыт to an address with incomm in it is that right,71
will do you gonna be at blakes all night i might be able to get out of here a little early,90
friendship is not a game to play it is not a word to say it doesnt start on march and ends on may it is tomorrow yesterday today and e,134
nice waitshould you be texting right now im not gonna pay your ticket ya know,77
im watching lotr w my sis dis aft so u wan  meet me  dinner at nite a not,73
why you keeping me away like this,33
i think its far more than that but find out check google maps for a place from your dorm,88
my trip was ok but quite tiring lor uni starts today but its ok  me cos im not taking any modules but jus concentrating on my final yr project,142
have you always been saying welp,32
im a guy browsin is compulsory,30
ok,2
purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu,146
sorry ill call later,20
i should add that i dont really care and if you cant i can at least get this dude to fuck off but hey your money if you want it,127
hello lover how goes that new job are you there now are you happy do you think of me i wake my slave and send you a teasing kiss from across the sea,148
i told your number to gautham,29
tell them no need to investigate about me anywhere,50
ok i juz receive,16
cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later,168
in the end she might still vomit but its okay not everything will come out,74
how are you with moneyas in to youmoney aint a thinghow are you sha,67
it has everything to do with the weather keep extra warm its a cold but nothing serious pls lots of vitamin c,109
hey gals anyone of u going down to e driving centre tmr,55
im always on yahoo messenger now just send the message to me and ill get it you may have to send it in the mobile mode sha but ill get it and will reply,152
im putting it on now it should be ready for  lttimegt ,54
time n smile r the two crucial things in our life sometimes time makes us to forget smile and sometimes someones smile makes us to forget time gud noon,151
hostbased idps for linux systems,32
don no dawhats you plan,23
ill be there on  ltgt  ok,25
oh my god im almost home,24
total video converter free download type this in google search,62
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,168
sounds like something that someone testing me would sayy,56
when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,143
peteis this your phone still its jenny from college and leannewhat are you up to now,84
oops sorry just to check that you dont mind picking me up tomo at half eight from station would that be ok,106
hey sweet i was wondering when you had a moment if you might come to me  i want to send a file to someone but it wont go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc  could you tell me how to do that  or do you know some other way to download big files  because they can download stuff directly from the internet any help would be great my prey  teasing kiss,444
hows the champ just leaving glasgow,35
kall the bestcongrats,21
i wonder if youll get this text,31
i need to come home and give you some good lovin,48
shall i ask one thing if you dont mistake me,44
check wid corect speling ie sarcasm,35
are you angry with me what happen dear,38
i thk u dun haf  hint in e forum already lor cos i told ron n darren is going  tell shuhui,90
yup ok thanx,12
hicts employee how are you,26
pls pls find out from aunt nike,31
wow  i love you sooo much you know  i can barely stand it  i wonder how your day goes and if you are well my love  i think of you and miss you,142
no screaming means shouting,27
hey what happen de are you alright,34
should i have picked up a receipt or something earlier,54
i think chennai well settled,28
oh dang i didnt mean o send that to you lol,43
unfortunately ive just found out that we have to pick my sister up from the airport that evening so dont think ill be going out at all we should try to go out one of th,168
horrible bf i now v hungry,26
remember on that day,20
hows it feel mr your not my real valentine just my yo valentine even tho u hardly play,86
all sounds good fingers  makes it difficult to type,51
midnight at the earliest,24
youre not sure that im not trying to make xavier smoke because i dont want to smoke after being told i smoke too much,117
k come to nordstrom when youre done,35
do u konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight amp have a nice sleepsweet dreams,199
now press conference da,23
after completed degree there is no use in joining finance,57
good afternoon my love  any job prospects  are you missing me  what do you do  are you being lazy and bleak hmmm  or happy and filled with my love ,147
shant disturb u anymore jia you,31
bishan lar nearer no need buy so early cos if buy now i gotta park my car,73
me i dont know again oh,23
dude sux for snake he got old and raiden got buff,49
he says hi and to get your ass back to south tampa preferably at a kegger,73
in e msg jus now u said thanks for gift,39
u too,5
ok how you dear did you call chechi,35
yeah we do totes when u wanna,29
ok i found dis pierre cardin one which looks normal costs  its on sale,70
good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more ,122
wat r u doing,13
message from  i am at truro hospital on ext you can phone me here as i have a phone by my side,94
single line with a big meaning miss anything  ur best life but,62
just got some gas money any chance you and the gang want to go on a grand nature adventure,90
dnt worryuse ice pieces in a cloth packalso take  tablets,57
dude just saw a parked car with its sunroof popped up sux,57
get ready to put on your excellent sub face ,44
tmrw im finishing  doors,24
the  ltgt g that i saw a few days ago the guy wants sell wifi only for  ltgt  and with g for  ltgt  thats why i blanked him,123
i am late i will be there at,28
whatever im pretty pissed off,29
today is accept dayu accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,150
i dont have that much image in class,36
noi got rumour that you going to buy apartment in chennai,57
near kalainar tv officethenampet,32
my sis is catching e show in e afternoon so im not watching w her so c u wan  watch today or tmr lor,100
sounds gd haha can wah u yan jiu so fast liao,45
no to be nosy i guess idk am i over reacting if im freaked,58
remember all those whom i hurt during days of satanic imposter in meneed to pay a priceso be itmay destiny keep me going and as u said pray that i get the mind to get over the same,180
how to make a girl happy its not at all difficult to make girls happy u only need to be  a friend  companion  lover  chef     ltgt  good listener  ltgt  organizer  ltgt  good boyfriend  ltgt  very clean  ltgt  sympathetic  ltgt  athletic  ltgt  warm     ltgt  courageous  ltgt  determined  ltgt  true  ltgt  dependable  ltgt  intelligent     ltgt  psychologist  ltgt  pest exterminator  ltgt  psychiatrist  ltgt  healer    ltgt  stylist  ltgt  driver   aaniye pudunga venaam,474
why is that princess i bet the brothas are all chasing you,58
i shall book chez jules for half eight if thats ok with you,59
hhahhaahahah rofl wtf nig was leonardo in your room or something,64
yep at dereks house now see you sunday lt,41
its cool let me know before it kicks off around  ltgt  ill be out and about all day,83
sorry ill call later,20
i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that  ltgt  dollars is years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that,328
there are no other charges after transfer charges and you can withdraw anyhow you like,86
dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,152
at  lets go to bill millers,27
i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo,100
somewhr someone is surely made  u and god has decided a perfect time to make u meet dat person    till den      enjoy ur crushes,128
thats my honeymoon outfit ,26
will it help if we propose going back again tomorrow,52
never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,145
pls confirm the time to collect the cheque,42
daddy will take good care of you ,33
yeah probably i still gotta check out with leo,46
kthen any other special,23
carlos is taking his sweet time as usual so let me know when you and patty are donewant to smoke and ill tell him to haul ass,125
ok pa nothing problem,21
have you heard about that job im going to that wildlife talk again tonight if u wantcome its thatworzels and a wizzle or whatever it is ,136
god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is u,124
when you came to hostel,23
ok no prob ill come after lunch then,36
jus telling u dat ill b leaving  shanghai on st instead so well haf more time  meet up cya,90
